Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
Georgia,USA,"1,643",56,0,"1,587",2020-03-27 03:00:00 * CTY: Fulton 231; unknown 178; Dougherty 164; Dekalb 137; Cobb 119; Bartow 93; Gwinnett 79; Carroll 52; Cherokee 44; Clayton 37; Henry 29; Lee 29; Clarke 29; Hall 22; Douglas 18; Floyd 17; Forsyth 15; Fayette 14; Lowndes 14; Coweta 14; Rockdale 13; Newton 12; Spalding 11; Richmond 11; Troup 10; Mitchell 10; Columbia 10; Polk 10; Gordon 9; Chatham 9; Houston 9; Bibb 8; Laurens 8; Paulding 7; Sumter 7; Early 7; Oconee 7; Tift 7; Whitfield 6; Muscogee 6; Glynn 6; Worth 6; Terrell 5; Peach 5; Barrow 5; Lumpkin 4; Pickens 4; Colquitt 4; Crisp 4; Butts 3; Lamar 3; Irwin 3; Madison 3; Lincoln 3; Monroe 3; Burke 3; Meriwether 3; Effingham 3; Bryan 3; Miller 2; Jackson 2; Dawson 2; Jasper 2; Tattnall 2; Coffee 2; Decatur 2; Randolph 2; Twiggs 2; Baldwin 2; Seminole 2; Washington 2; Ware 2; Camden 2; Turner 2; Mcduffie 1; Baker 1; Toombs 1; Liberty 1; Taylor 1; Thomas 1; Macon 1; Fannin 1; Franklin 1; Clinch 1; Pierce 1; Chattooga 1; White 1; Calhoun 1; Ben Hill 1; Pulaski 1; Dodge 1; Long 1; Wilkes 1; Greene 1; Catoosa 1; Morgan 1; Haralson 1; Jones 1; Heard 1; Stephens 1; Charlton 1; Harris 1
Luxembourg,Luxembourg,"1,453",9,6,"1,438",3/26/20 22:00
Guangdong,Mainland China,"1,448",8,"1,336",104,3/26/20 10:00
Colorado,USA,"1,430",19,0,"1,411",2020-03-27 03:00:00 * CTY: Denver 262; Eagle 147; El Paso 137; Jefferson 131; Arapahoe 119; Weld 107; unknown 102; Douglas 67; Boulder 66; Larimer 61; Gunnison 57; Adams 50; Pitkin 23; Garfield 16; Broomfield 10; Routt 9; Summit 9; Teller 7; Mesa 6; Chaffee 5; La Plata 5; Montrose 4; Morgan 3; Pueblo 3; Clear Creek 3; Elbert 3; Logan 2; Grand 2; Rio Grande 2; Yuma 2; Fremont 1; Washington 1; Huerfano 1; Hinsdale 1; Delta 1; Crowley 1; San Miguel 1; Otero 1; Park 1; Kit Carson 1
Ecuador,Ecuador,"1,403",34,3,"1,366",3/27/20 1:00
Japan,Japan,"1,399",47,359,993,3/26/20 17:00
Chile,Chile,"1,306",4,22,"1,280",2020-03-27 01:00:00 * (not updated after 1142) Arica 2; Tarapaca 4; Antofagasta 19; Atacama 1; Coquimbo 12; Valparaiso 32; Metropolitana 682; O'Higgins 11; Maule 30; Ñuble 111; Biobio 95; Araucania 74; Los Rios 11; Los Lagos 44; Aysen 1; Magallanes 13. Source: @SouthernVOID
Henan,Mainland China,"1,275",22,"1,250",3,3/26/20 3:00
Zhejiang,Mainland China,"1,243",1,"1,222",20,3/26/20 3:00
Poland,Poland,"1,221",16,7,"1,198",3/26/20 22:00
Pakistan,Pakistan,"1,201",9,21,"1,171",3/27/20 1:00
Tennessee,USA,"1,099",3,0,"1,096",2020-03-27 03:00:00 * CTY: Davidson 293; Shelby 198; Out-of-state 117; unknown 112; Williamson 70; Sumner 43; Hamilton 30; Rutherford 27; Knox 26; Robertson 20; Wilson 13; Putnam 11; Washington 9; Tipton 8; Greene 8; Maury 7; Dickson 7; Cheatham 7; Montgomery 6; Loudon 6; Cumberland 6; Bradley 5; Sullivan 4; Blount 4; Jefferson 4; Fayette 3; Carroll 3; Anderson 3; Dyer 3; McMinn 3; Sevier 3; Houston 3; Campbell 2; Chester 2; Franklin 2; Gibson 2; Marion 2; Claiborne 2; Hamblen 2; Monroe 2; Lewis 2; Madison 2; Dekalb 2; Cocke 1; Bedford 1; Hawkins 1; White 1; Perry 1; Scott 1; Cannon 1; Meigs 1; Grundy 1; Macon 1; Hardin 1; Benton 1; Lincoln 1; Overton 1; Roane 1
Thailand,Thailand,"1,045",4,88,953,3/26/20 16:00
Romania,Romania,"1,029",18,94,917,3/26/20 16:00
Hunan,Mainland China,"1,018",4,"1,014",0,3/22/20 18:00
Saudi Arabia,Saudi Arabia,"1,012",3,33,976,3/26/20 16:00
Connecticut,USA,"1,012",21,0,991,2020-03-27 03:00:00 * CTY: Fairfield 607; New Haven 156; Hartford 138; Litchfield 44; Tolland 33; Middlesex 18; New London 13; Windham 3
Anhui,Mainland China,990,6,984,0,3/9/20 1:00
Finland,Finland,958,5,10,943,3/26/20 16:00
Jiangxi,Mainland China,936,1,934,1,3/22/20 18:00
South Africa,South Africa,927,0,12,915,3/26/20 17:00
Indonesia,Indonesia,893,78,35,780,3/26/20 16:00
Greece,Greece,892,26,42,824,2020-03-27 01:00:00 * Attica 515; Aegean Islands 8; Thrace 14; Macedonia 83; Epirus 5; Thessaly 13; Peloponesse 64; Dodecanese 1; Central Greece 2; Crete 8; Ionian Islands 5; Cyclades 1; Undefined Location 173. Source: @bikerboyGR
